REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Families_affected,Individuals_affected2,Houses_damaged,Houses_destroyed
#adm1 +name +en,#adm2 +code,#adm2 +name +en,#adm3 +code,#adm3 +name +en,#cause +date,#cause +type,#affected +killed +num,#affected +injured +num,#affected +families +num,#affected +individuals +num,#damaged+houses+num,#destroyed+houses+num
Eastern,13,Kunar,1309,Khaskunar,17-08-22,Flood / flash flood,0,0,5,40,2,3
Eastern,13,Kunar,1309,Khaskunar,17-08-22,Flood / flash flood,0,0,15,127,10,5
Eastern,13,Kunar,1308,Chawkay,17-08-22,Flood / flash flood,1,3,10,81,4,6
Eastern,13,Kunar,1309,Khaskunar,17-08-22,Flood / flash flood,0,0,3,24,2,1
Eastern,13,Kunar,1309,Khaskunar,17-08-22,Flood / flash flood,0,0,5,39,2,3
Eastern,13,Kunar,1305,Marawara,17-08-22,Flood / flash flood,0,1,18,145,18,0
Eastern,14,Nuristan,1407,Kamdesh,17-08-22,Flood / flash flood,12,20,64,454,23,41
Eastern,13,Kunar,1305,Marawara,17-08-22,Flood / flash flood,0,0,19,144,17,2
Eastern,13,Kunar,1305,Marawara,17-08-22,Flood / flash flood,0,0,12,90,12,0
Capital,4,Wardak,405,Daymirdad,20-08-22,Flood / flash flood,0,0,6,58,6,0
Capital,4,Wardak,407,Saydabad,20-08-22,Flood / flash flood,0,0,36,274,26,10
Capital,4,Wardak,406,Chak,20-08-22,Flood / flash flood,0,0,33,260,25,8
Capital,5,Logar,502,Khoshi,20-08-22,Flood / flash flood,4,10,448,3136,222,226
Capital,5,Logar,503,Mohammadagha,20-08-22,Flood / flash flood,0,0,51,357,27,24
Capital,5,Logar,501,Pul-e-Alam,20-08-22,Flood / flash flood,0,0,129,903,91,38
Capital,5,Logar,504,Barakibarak,20-08-22,Flood / flash flood,0,0,9,63,8,1
Eastern,6,Nangarhar,604,Khogyani,20-08-22,Flood / flash flood,0,0,16,90,12,4
Capital,1,Kabul,106,Musayi,22-08-22,Flood / flash flood,0,0,47,242,29,18
Eastern,7,Laghman,704,Alingar,23-08-22,Flood / flash flood,0,0,25,195,25,0
Eastern,7,Laghman,703,Qarghayi,24-08-22,Flood / flash flood,0,0,16,112,16,0
Eastern,7,Laghman,703,Qarghayi,24-08-22,Flood / flash flood,0,0,11,77,11,0
Eastern,7,Laghman,704,Alingar,24-08-22,Flood / flash flood,0,0,19,133,19,0
Eastern,7,Laghman,704,Alingar,24-08-22,Flood / flash flood,0,0,10,70,10,0
Western,31,Farah,3109,Gulestan,25-08-22,Flood / flash flood,0,0,74,2958,11,63
Eastern,13,Kunar,1304,Sarkani,26-08-22,Flood / flash flood,0,0,26,206,18,8
Eastern,7,Laghman,703,Qarghayi,26-08-22,Flood / flash flood,0,0,17,119,0,17
Eastern,13,Kunar,1304,Sarkani,26-08-22,Flood / flash flood,0,0,42,279,14,28
Eastern,13,Kunar,1314,Nurgal,26-08-22,Flood / flash flood,0,0,10,69,6,4
Eastern,13,Kunar,1314,Nurgal,26-08-22,Flood / flash flood,0,0,9,81,8,1
